42 camden street lower	1		operacompany
25 bachelor's walk	1		operacompany
james's street	1		operacompany
5 dame street	1		operacompany
35 dame street	1		operacompany
28 james's street	1		operacompany
48 james's street	1		operacompany
2 sackville st. lower	1		operacompany
12 sackville st. lower	1		operacompany
carlisle bridge	1		operacompany
21 watling street	1		operacompany
27 bachelor's walk	1		operacompany
31 dame street	1		operacompany
island street	1		operacompany
watling street	1		operacompany
49 fleet street	1		operacompany
1 bedford row	1		operacompany
10 bedford row	1		operacompany
19 ormond quay lower	1		operacompany
31 mary's abbey	1		operacompany
christchurch place	1		operacompany
dame street	1		operacompany
lord edward street	1		operacompany
cork hill	1		operacompany
37 parliament street	1		operacompany
27 parliament street	1		operacompany
30 parliament street	1		operacompany
33 dame street	1		operacompany
14 nelson street	1		operacompany
60 mount street lower	1		operacompany
14 clare street	1		operacompany
31 merrion square north	1		operacompany
1 merrion square north	1		operacompany
23 wicklow street	1		operacompany
8 bridge street	1		operacompany
33 wicklow street	1		operacompany
sean heuston bridge	1		operacompany
ror o'more bridge	1		operacompany
father mathew bridge	1		operacompany
29 kildare street	1		operacompany
32 arran quay	1		operacompany
d'donovan rossa bridge	1		operacompany
34 ormond quay upper	1		operacompany
36 ormond quay upper	1		operacompany
15 wood quay	1		operacompany
30 ormond quay upper	1		operacompany
grattan bridge	1		operacompany
11 wellington quay	1		operacompany
2 wellington quay	1		operacompany
11 granby row upper	1		operacompany
26 parliament street	1		operacompany
82 dame street	1		operacompany
72 dame street	1		operacompany
college park	1		operacompany
1 leinster street	1		operacompany
merrion square	1		operacompany
2 mount street lower	1		operacompany
haddington road	1		operacompany
northumberland road	1		operacompany
7 eccles street	1		irish surgeon
ringsend road	1		irish surgeon
stamer street	1		irish surgeon
hume street	1		irish surgeon
nelson's pillar	1		irish surgeon
rutland square	1		irish surgeon
blessington street	1		irish surgeon
berkely street	1		irish surgeon
eccles street	1		irish surgeon
phibsborough road	1		irish surgeon
finglas road	1		irish surgeon
windmill lane	1		irish surgeon
18 rogerson's quay	1		irish surgeon
19 rogerson's quay	1		irish surgeon
lime street	1		irish surgeon
townsend street	1		irish surgeon
26 lombard street e.	1		irish surgeon
164 north strand road	1		irish surgeon
6 westland row	1		irish surgeon
49 westland row	1		irish surgeon
31 westland row	1		irish surgeon
pearse street	1		irish surgeon
cumberland street	1		irish surgeon
153 pearse street	1		irish surgeon
the coombe	1		irish surgeon
46 westland row	1		irish surgeon
1 lincoln place	1		irish surgeon
11 leinster street	1		irish surgeon
upper gardiner street	1		irish surgeon
mountjoy square	1		irish surgeon
fitzgibbon street	1		irish surgeon
great charles street	1		irish surgeon
north circular road	1		irish surgeon
4 n. strand road	1		irish surgeon
16 n. strand road	1		irish surgeon
17 n. strand road	1		irish surgeon
164 n. strand road	1		irish surgeon
21 n. strand road	1		irish surgeon
newcomen bridge	1		irish surgeon
annesley bridge	1		irish surgeon
howth road	1		irish surgeon
malahide road	1		irish surgeon
11 2 dorset street lower	1		irish surgeon
clongowes fields	1		irish surgeon
61 grafton street	1		irish surgeon
college green	1		irish surgeon
52 grafton street	1		irish surgeon
8 ormond quay upper	1		irish surgeon
crampton court	1		irish surgeon
sycamore street	1		irish surgeon
jervis street	1		irish surgeon
30 essex street east	1		irish surgeon
29 essex street east	1		irish surgeon
merchant's arch	1		irish surgeon
metal bridge	1		irish surgeon
wellington quay	1		irish surgeon
42 camden street lower	1		irish surgeon
25 bachelor's walk	1		irish surgeon
james's street	1		irish surgeon
5 dame street	1		irish surgeon
35 dame street	1		irish surgeon
28 james's street	1		irish surgeon
48 james's street	1		irish surgeon
2 sackville st. lower	1		irish surgeon
12 sackville st. lower	1		irish surgeon
carlisle bridge	1		irish surgeon
21 watling street	1		irish surgeon
27 bachelor's walk	1		irish surgeon
31 dame street	1		irish surgeon
island street	1		irish surgeon
watling street	1		irish surgeon
49 fleet street	1		irish surgeon
1 bedford row	1		irish surgeon
10 bedford row	1		irish surgeon
19 ormond quay lower	1		irish surgeon
31 mary's abbey	1		irish surgeon
christchurch place	1		irish surgeon
dame street	1		irish surgeon
lord edward street	1		irish surgeon
cork hill	1		irish surgeon
37 parliament street	1		irish surgeon
27 parliament street	1		irish surgeon
30 parliament street	1		irish surgeon
33 dame street	1		irish surgeon
14 nelson street	1		irish surgeon
60 mount street lower	1		irish surgeon
14 clare street	1		irish surgeon
31 merrion square north	1		irish surgeon
1 merrion square north	1		irish surgeon
23 wicklow street	1		irish surgeon
8 bridge street	1		irish surgeon
33 wicklow street	1		irish surgeon
sean heuston bridge	1		irish surgeon
ror o'more bridge	1		irish surgeon
father mathew bridge	1		irish surgeon
29 kildare street	1		irish surgeon
32 arran quay	1		irish surgeon
d'donovan rossa bridge	1		irish surgeon
34 ormond quay upper	1		irish surgeon
36 ormond quay upper	1		irish surgeon
15 wood quay	1		irish surgeon
30 ormond quay upper	1		irish surgeon
grattan bridge	1		irish surgeon
11 wellington quay	1		irish surgeon
2 wellington quay	1		irish surgeon
11 granby row upper	1		irish surgeon
26 parliament street	1		irish surgeon
82 dame street	1		irish surgeon
72 dame street	1		irish surgeon
college park	1		irish surgeon
1 leinster street	1		irish surgeon
merrion square	1		irish surgeon
2 mount street lower	1		irish surgeon
haddington road	1		irish surgeon
northumberland road	1		irish surgeon
7 eccles street	1		italian
ringsend road	1		italian
stamer street	1		italian
hume street	1		italian
nelson's pillar	1		italian
rutland square	1		italian
blessington street	1		italian
berkely street	1		italian
eccles street	1		italian
phibsborough road	1		italian
finglas road	1		italian
windmill lane	1		italian
18 rogerson's quay	1		italian
19 rogerson's quay	1		italian
lime street	1		italian
townsend street	1		italian
26 lombard street e.	1		italian
164 north strand road	1		italian
6 westland row	1		italian
49 westland row	1		italian
31 westland row	1		italian
pearse street	1		italian
cumberland street	1		italian
153 pearse street	1		italian
the coombe	1		italian
46 westland row	1		italian
1 lincoln place	1		italian
